 HS5062;ENT-ABOC-101; SUGAR FOODS; NaN;0.0;0.0;0.0
 HS5077;ENT-103; NESTLE; 210CPM;0.0;0.0;0.0
 HS5077;ENT-103; NESTLE; 210CPM;0.0;0.0;0.0
 HS5097;ENT-104; FURLANI'S; 120CPM (A &B), 110CPM (C & D) & 60CPM (D);5.25;2.5;9.0
 HS5097;ENT-104; FURLANI'S; 120CPM (A &B), 110CPM (C & D) & 60CPM (D);5.25;3.25;9.0
 HS5097;ENT-104; FURLANI'S; 120CPM (A &B), 110CPM (C & D) & 60CPM (D);5.25;3.5;9.0
 HS5097;ENT-104; FURLANI'S; 120CPM (A &B), 110CPM (C & D) & 60CPM (D);7.125;4.0;9.5
 HS5097;ENT-104; FURLANI'S; 120CPM (A &B), 110CPM (C & D) & 60CPM (D);5.25;3.25;7.5
 HS5103;ENT-105; JOHNSONVILLE; 130CPM;5.25;2.5;9.75
 HS5103;ENT-105; JOHNSONVILLE; 130CPM;10.0;2.75;9.75
 HS5120;ENT-OC-108; BENCHMARK AUTOMATION / FEHR FOODS; NaN;4.563;3.031;4.5
 HS5120;ENT-OC-108; BENCHMARK AUTOMATION / FEHR FOODS; NaN;4.563;2.938;9.0
 HS5120;ENT-OC-109; BENCHMARK AUTOMATION / FEHR FOODS; NaN;4.563;3.031;4.5
 HS5120;ENT-OC-109; BENCHMARK AUTOMATION / FEHR FOODS; NaN;4.563;2.938;9.0
 HS5120;ENT-OC-110; BENCHMARK AUTOMATION / FEHR FOODS; NaN;4.563;3.031;4.5
 HS5120;ENT-OC-110; BENCHMARK AUTOMATION / FEHR FOODS; NaN;4.563;2.938;9.0
 HS5121;ENT-AB-106  ; SARGENTO FOODS; 70CPM (A), 140CPM &110CPM (B), 55CPM (A), 40CPM  & 30CPM (D);4.313;4.188;10.031
 HS5121;ENT-AB-106  ; SARGENTO FOODS; 70CPM (A), 140CPM &110CPM (B), 55CPM (A), 40CPM  & 30CPM (D);4.313;2.188;10.031
 HS5121;ENT-AB-106  ; SARGENTO FOODS; 70CPM (A), 140CPM &110CPM (B), 55CPM (A), 40CPM  & 30CPM (D);6.375;2.0;7.625
 HS5121;ENT-AB-106  ; SARGENTO FOODS; 70CPM (A), 140CPM &110CPM (B), 55CPM (A), 40CPM  & 30CPM (D);8.063;2.0;7.625
 HS5121;ENT-AB-106  ; SARGENTO FOODS; 70CPM (A), 140CPM &110CPM (B), 55CPM (A), 40CPM  & 30CPM (D);0.0;0.0;0.0
 HS5122;ENT-111; HILLSHIRE; 170CPM (A), 110CPM (B) & 75CPM (C);7.25;1.625;7.25
 HS5122;ENT-111; HILLSHIRE; 170CPM (A), 110CPM (B) & 75CPM (C);7.25;2.25;7.25
 HS5141;ENT-ABOC-102; ADVANCE PEIRRE FOODS; 22CPM;0.0;0.0;0.0
